citing,cited
2020.emnlp-main.380,P19-4003
2020.emnlp-main.380,W16-3617
2020.emnlp-main.380,D18-1374
2020.emnlp-main.380,D14-1162
2020.emnlp-main.380,D19-1670
2020.emnlp-main.380,P19-1499
P19-1161,K17-2001
P19-1161,W17-1609
P19-1161,N18-2002
P19-1161,D17-1323
P19-1161,N18-2003
2022.semeval-1.215,W17-4419
2022.semeval-1.215,2020.acl-main.747
2022.semeval-1.215,D17-2017
2022.semeval-1.215,N19-1423
2022.semeval-1.215,D19-5701
2022.semeval-1.215,2020.coling-main.54
2022.semeval-1.215,D19-5714
2022.semeval-1.215,2021.naacl-main.118
2022.semeval-1.215,2021.smm4h-1.3
2022.semeval-1.215,2020.emnlp-demos.2
2022.semeval-1.215,N18-1202
2022.semeval-1.215,2021.smm4h-1.27
2022.semeval-1.215,P19-1527
2022.semeval-1.215,2020.findings-emnlp.356
2022.semeval-1.215,2021.acl-long.206
2020.nlp4convai-1.12,D18-1300
2020.nlp4convai-1.12,W19-4302
P19-1167,N18-1067
P19-1167,N18-2003
2020.emnlp-main.50,W16-1701
2021.nlp4convai-1.2,D15-1075
2021.nlp4convai-1.2,2020.acl-main.747
2021.nlp4convai-1.2,D19-1403
2021.nlp4convai-1.2,2020.acl-main.128
2021.nlp4convai-1.2,W18-5446
2021.nlp4convai-1.2,D19-1670
2021.nlp4convai-1.2,N18-1101
2021.nlp4convai-1.2,D19-1404
2021.nlp4convai-1.2,2020.emnlp-main.411
2021.nlp4convai-1.4,K16-1002
2021.nlp4convai-1.4,2020.acl-main.18
2021.nlp4convai-1.4,W19-2306
2021.nlp4convai-1.4,N19-1423
2021.nlp4convai-1.4,D19-1153
2021.nlp4convai-1.4,P18-1082
2021.nlp4convai-1.4,N18-3017
2021.nlp4convai-1.4,D18-1421
2021.nlp4convai-1.4,P19-1332
2021.nlp4convai-1.4,D19-5609
2021.nlp4convai-1.4,D14-1162
2021.nlp4convai-1.4,2020.findings-emnlp.303
2021.nlp4convai-1.4,2020.emnlp-main.410
2021.nlp4convai-1.5,N19-1423
2021.nlp4convai-1.5,P16-1004
2021.nlp4convai-1.5,W17-2607
2021.nlp4convai-1.5,D18-1300
2021.nlp4convai-1.5,P16-1002
2021.nlp4convai-1.6,2020.emnlp-main.26
2021.nlp4convai-1.6,W18-5033
2021.nlp4convai-1.7,P19-1425
2021.nlp4convai-1.7,D15-1051
2021.nlp4convai-1.7,D19-5506
2021.nlp4convai-1.7,W18-6108
2021.nlp4convai-1.7,2020.acl-main.755
2021.nlp4convai-1.7,N19-1326
2021.nlp4convai-1.7,P19-1561
2021.nlp4convai-1.7,P18-1079
2021.nlp4convai-1.7,2020.acl-main.442
2021.nlp4convai-1.7,2020.acl-main.263
2021.nlp4convai-1.8,2021.findings-acl.222
2021.nlp4convai-1.8,D18-1547
2021.nlp4convai-1.8,2021.acl-long.135
2021.nlp4convai-1.8,2020.acl-main.54
2021.nlp4convai-1.8,2020.acl-main.53
2021.nlp4convai-1.8,2020.emnlp-main.273
2021.nlp4convai-1.8,P17-1163
2021.nlp4convai-1.8,P18-2069
2021.nlp4convai-1.8,D19-1196
2021.nlp4convai-1.8,D18-1299
2021.nlp4convai-1.8,P19-1078
2021.nlp4convai-1.8,2020.nlp4convai-1.13
2021.nlp4convai-1.8,P18-1135
2021.nlp4convai-1.8,2020.findings-emnlp.68
2020.nlp4convai-1.8,W14-4337
2022.lchange-1.1,N19-1423
2022.lchange-1.1,2021.findings-acl.211
2022.lchange-1.1,W14-4716
2022.lchange-1.1,D14-1160
2022.lchange-1.1,2021.latechclfl-1.2
2021.acl-demo.24,P15-1142
2021.acl-demo.24,D18-1425
2020.acl-main.247,N18-1202
2020.acl-main.247,N18-1058
2021.emnlp-main.148,2020.acl-main.142
2021.emnlp-main.148,P15-1034
2021.emnlp-main.148,N19-1423
2021.emnlp-main.148,2020.emnlp-main.550
2021.emnlp-main.148,2021.acl-long.518
2021.emnlp-main.148,P19-1612
2021.emnlp-main.148,K17-1034
2021.emnlp-main.148,2020.acl-main.703
2021.emnlp-main.148,2021.naacl-main.200
2021.emnlp-main.148,D19-1250
2021.emnlp-main.148,2020.emnlp-main.437
2021.emnlp-main.148,N19-1327
2021.emnlp-main.148,P16-1158
2021.emnlp-main.148,2020.emnlp-demos.6
2021.emnlp-main.148,2020.emnlp-main.519
2021.emnlp-main.148,D17-1004
2021.codi-sharedtask.6,2020.coling-main.508
2021.codi-sharedtask.6,P15-1136
2021.codi-sharedtask.6,P16-1061
2021.codi-sharedtask.6,D19-1588
2021.codi-sharedtask.6,D19-1199
2021.codi-sharedtask.6,D17-1018
2021.codi-sharedtask.6,N18-2108
2021.codi-sharedtask.6,W18-0702
2021.codi-sharedtask.6,P15-1137
2021.codi-sharedtask.6,2020.acl-main.622
2020.emnlp-main.686,P15-1136
2020.emnlp-main.686,P16-1061
2020.emnlp-main.686,N19-1423
2020.emnlp-main.686,P19-1064
2020.emnlp-main.686,D19-1588
2020.emnlp-main.686,P19-1066
2020.emnlp-main.686,D17-1018
2020.emnlp-main.686,N18-2108
2020.emnlp-main.686,N18-1202
2020.emnlp-main.686,P15-1137
2020.emnlp-main.686,N16-1114
2020.emnlp-main.686,2020.acl-main.622
2022.bionlp-1.30,2020.acl-main.747
2022.bionlp-1.30,D17-2017
2022.bionlp-1.30,2020.clinicalnlp-1.17
2022.bionlp-1.30,2020.coling-main.581
2021.eacl-main.271,P19-1294
2021.eacl-main.271,N18-2081
2021.eacl-main.271,P17-1141
2021.eacl-main.271,W16-2209
2020.wmt-1.73,N19-3002
2020.wmt-1.73,W19-3822
2020.wmt-1.73,P16-2096
2020.wmt-1.73,P18-2050
2020.wmt-1.73,W19-3807
2020.wmt-1.73,W18-6319
2020.wmt-1.73,2020.acl-demos.14
2020.wmt-1.73,W16-2209
2020.wmt-1.73,P16-1162
2020.wmt-1.73,P19-1164
2020.wmt-1.73,D18-1334
2020.wmt-1.73,N18-2003
2020.wmt-1.73,P19-1161
2021.nllp-1.2,2020.findings-emnlp.387
2021.nllp-1.2,2020.coling-main.581
2021.nllp-1.2,2021.smm4h-1.27
2020.wmt-1.15,W18-6421
2020.acl-main.259,D19-1227
2020.acl-main.259,N19-1423
2020.acl-main.259,D18-1060
2020.acl-main.259,P19-1024
2020.acl-main.259,P18-5005
2020.acl-main.259,P19-1378
2020.acl-main.259,W19-5113
2021.smm4h-1.27,D17-2017
2021.smm4h-1.27,W19-1916
D19-5702,P16-1162
2022.nlp4convai-1.1,D19-1198
2022.nlp4convai-1.1,N16-1014
2022.nlp4convai-1.1,D16-1127
2022.nlp4convai-1.1,D17-1230
2022.nlp4convai-1.1,2020.coling-main.394
2022.nlp4convai-1.1,D16-1230
2022.nlp4convai-1.1,D14-1162
2022.nlp4convai-1.1,P19-1534
2022.nlp4convai-1.1,P15-1152
2022.nlp4convai-1.1,N15-1020
